i  x  y  u_num  u_exact  err  |err|
   0   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000e+00   0.000e+00
   1   1.000000e-01   0.000000e+00   1.000000e-02   1.000000e-02   0.000e+00   0.000e+00
   2   2.000000e-01   0.000000e+00   4.000000e-02   4.000000e-02   0.000e+00   0.000e+00
   3   3.000000e-01   0.000000e+00   9.000000e-02   9.000000e-02   0.000e+00   0.000e+00
   4   4.000000e-01   0.000000e+00   1.600000e-01   1.600000e-01   0.000e+00   0.000e+00
   5   0.000000e+00   1.000000e-01   1.000000e-02   1.000000e-02   0.000e+00   0.000e+00
   6   1.000000e-01   1.000000e-01   2.142174e-02   2.000000e-02   1.422e-03   1.422e-03
   7   2.000000e-01   1.000000e-01   5.286228e-02   5.000000e-02   2.862e-03   2.862e-03
   8   3.000000e-01   1.000000e-01   1.041462e-01   1.000000e-01   4.146e-03   4.146e-03
   9   4.000000e-01   1.000000e-01   1.742355e-01   1.700000e-01   4.235e-03   4.235e-03
  10   0.000000e+00   2.000000e-01   4.000000e-02   4.000000e-02   0.000e+00   0.000e+00
  11   1.000000e-01   2.000000e-01   5.286228e-02   5.000000e-02   2.862e-03   2.862e-03
  12   2.000000e-01   2.000000e-01   8.579223e-02   8.000000e-02   5.792e-03   5.792e-03
  13   3.000000e-01   2.000000e-01   1.388615e-01   1.300000e-01   8.862e-03   8.862e-03
  14   4.000000e-01   2.000000e-01   2.116414e-01   2.000000e-01   1.164e-02   1.164e-02
  15   0.000000e+00   3.000000e-01   9.000000e-02   9.000000e-02   0.000e+00   0.000e+00
  16   1.000000e-01   3.000000e-01   1.041462e-01   1.000000e-01   4.146e-03   4.146e-03
  17   2.000000e-01   3.000000e-01   1.388615e-01   1.300000e-01   8.862e-03   8.862e-03
  18   3.000000e-01   3.000000e-01   1.934507e-01   1.800000e-01   1.345e-02   1.345e-02
  19   4.000000e-01   3.000000e-01   2.702674e-01   2.500000e-01   2.027e-02   2.027e-02
  20   0.000000e+00   4.000000e-01   1.600000e-01   1.600000e-01   0.000e+00   0.000e+00
  21   1.000000e-01   4.000000e-01   1.742355e-01   1.700000e-01   4.235e-03   4.235e-03
  22   2.000000e-01   4.000000e-01   2.116414e-01   2.000000e-01   1.164e-02   1.164e-02
  23   3.000000e-01   4.000000e-01   2.702674e-01   2.500000e-01   2.027e-02   2.027e-02
  24   4.000000e-01   4.000000e-01   3.407879e-01   3.200000e-01   2.079e-02   2.079e-02
  25   5.292820e-01   0.000000e+00   2.801394e-01   2.801394e-01   0.000e+00   0.000e+00
  26   5.251420e-01   1.204890e-01   2.916730e-01   2.902917e-01   1.381e-03   1.381e-03
  27   5.128810e-01   2.393630e-01   3.236088e-01   3.203416e-01   3.267e-03   3.267e-03
  28   4.929690e-01   3.550680e-01   3.675838e-01   3.690917e-01  -1.508e-03   1.508e-03
  29   4.661730e-01   4.661730e-01   4.048718e-01   4.346345e-01  -2.976e-02   2.976e-02
  30   6.714930e-01   0.000000e+00   4.509028e-01   4.509028e-01   0.000e+00   0.000e+00
  31   6.627990e-01   1.430270e-01   4.590822e-01   4.597592e-01  -6.771e-04   6.771e-04
  32   6.370500e-01   2.826620e-01   4.815987e-01   4.857305e-01  -4.132e-03   4.132e-03
  33   5.952350e-01   4.156430e-01   5.036644e-01   5.270638e-01  -2.340e-02   2.340e-02
  34   5.389620e-01   5.389620e-01   5.038136e-01   5.809601e-01  -7.715e-02   7.715e-02
  35   8.279250e-01   0.000000e+00   6.854598e-01   6.854598e-01   0.000e+00   0.000e+00
  36   8.142210e-01   1.678190e-01   6.909271e-01   6.911191e-01  -1.920e-04   1.920e-04
  37   7.736350e-01   3.302910e-01   7.024588e-01   7.076033e-01  -5.144e-03   5.144e-03
