i  x  y  u_num  u_exact  err  |err|
   0   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000e+00   0.000e+00
   1   1.000000e-01   0.000000e+00   1.000017e-02   1.000017e-02   0.000e+00   0.000e+00
   2   2.000000e-01   0.000000e+00   4.001067e-02   4.001067e-02   0.000e+00   0.000e+00
   3   3.000000e-01   0.000000e+00   9.012195e-02   9.012195e-02   0.000e+00   0.000e+00
   4   4.000000e-01   0.000000e+00   1.606907e-01   1.606907e-01   0.000e+00   0.000e+00
   5   0.000000e+00   1.000000e-01   1.000017e-02   1.000017e-02   0.000e+00   0.000e+00
   6   1.000000e-01   1.000000e-01   2.277563e-02   2.000133e-02   2.774e-03   2.774e-03
   7   2.000000e-01   1.000000e-01   5.560069e-02   5.002086e-02   5.580e-03   5.580e-03
   8   3.000000e-01   1.000000e-01   1.084473e-01   1.001674e-01   8.280e-03   8.280e-03
   9   4.000000e-01   1.000000e-01   1.806406e-01   1.708297e-01   9.811e-03   9.811e-03
  10   0.000000e+00   2.000000e-01   4.001067e-02   4.001067e-02   0.000e+00   0.000e+00
  11   1.000000e-01   2.000000e-01   5.560069e-02   5.002086e-02   5.580e-03   5.580e-03
  12   2.000000e-01   2.000000e-01   9.128984e-02   8.008558e-02   1.120e-02   1.120e-02
  13   3.000000e-01   2.000000e-01   1.474047e-01   1.303690e-01   1.704e-02   1.704e-02
  14   4.000000e-01   2.000000e-01   2.242491e-01   2.013579e-01   2.289e-02   2.289e-02
  15   0.000000e+00   3.000000e-01   9.012195e-02   9.012195e-02   0.000e+00   0.000e+00
  16   1.000000e-01   3.000000e-01   1.084473e-01   1.001674e-01   8.280e-03   8.280e-03
  17   2.000000e-01   3.000000e-01   1.474047e-01   1.303690e-01   1.704e-02   1.704e-02
  18   3.000000e-01   3.000000e-01   2.064413e-01   1.809865e-01   2.545e-02   2.545e-02
  19   4.000000e-01   3.000000e-01   2.892324e-01   2.526803e-01   3.655e-02   3.655e-02
  20   0.000000e+00   4.000000e-01   1.606907e-01   1.606907e-01   0.000e+00   0.000e+00
  21   1.000000e-01   4.000000e-01   1.806406e-01   1.708297e-01   9.811e-03   9.811e-03
  22   2.000000e-01   4.000000e-01   2.242491e-01   2.013579e-01   2.289e-02   2.289e-02
  23   3.000000e-01   4.000000e-01   2.892324e-01   2.526803e-01   3.655e-02   3.655e-02
  24   4.000000e-01   4.000000e-01   3.659493e-01   3.257295e-01   4.022e-02   4.022e-02
  25   5.292820e-01   0.000000e+00   2.839394e-01   2.839394e-01   0.000e+00   0.000e+00
  26   5.251420e-01   1.204890e-01   3.060221e-01   2.945317e-01   1.149e-02   1.149e-02
  27   5.128810e-01   2.393630e-01   3.471304e-01   3.260900e-01   2.104e-02   2.104e-02
  28   4.929690e-01   3.550680e-01   3.965322e-01   3.780315e-01   1.850e-02   1.850e-02
  29   4.661730e-01   4.661730e-01   4.360009e-01   4.496324e-01  -1.363e-02   1.363e-02
  30   6.714930e-01   0.000000e+00   4.677766e-01   4.677766e-01   0.000e+00   0.000e+00
  31   6.627990e-01   1.430270e-01   4.972110e-01   4.777241e-01   1.949e-02   1.949e-02
  32   6.370500e-01   2.826620e-01   5.341229e-01   5.071987e-01   2.692e-02   2.692e-02
  33   5.952350e-01   4.156430e-01   5.546048e-01   5.551418e-01  -5.370e-04   5.370e-04
  34   5.389620e-01   5.389620e-01   5.478789e-01   6.199077e-01  -7.203e-02   7.203e-02
  35   8.279250e-01   0.000000e+00   7.552350e-01   7.552350e-01   0.000e+00   0.000e+00
  36   8.142210e-01   1.678190e-01   8.117386e-01   7.630363e-01   4.870e-02   4.870e-02
  37   7.736350e-01   3.302910e-01   8.343403e-01   7.861005e-01   4.824e-02   4.824e-02
  38   7.077280e-01   4.822750e-01   8.437495e-01   8.234102e-01   2.034e-02   2.034e-02
  39   6.190310e-01   6.190310e-01   7.503459e-01   8.732160e-01  -1.229e-01   1.229e-01
  40   0.000000e+00   5.292820e-01   2.839394e-01   2.839394e-01   0.000e+00   0.000e+00
  41   1.204890e-01   5.251420e-01   3.060221e-01   2.945317e-01   1.149e-02   1.149e-02
  42   2.393630e-01   5.128810e-01   3.471304e-01   3.260900e-01   2.104e-02   2.104e-02
  43   3.550680e-01   4.929690e-01   3.965322e-01   3.780315e-01   1.850e-02   1.850e-02
  44   0.000000e+00   6.714930e-01   4.677766e-01   4.677766e-01   0.000e+00   0.000e+00
  45   1.430270e-01   6.627990e-01   4.972110e-01   4.777241e-01   1.949e-02   1.949e-02
  46   2.826620e-01   6.370500e-01   5.341229e-01   5.071987e-01   2.692e-02   2.692e-02
  47   4.156430e-01   5.952350e-01   5.546048e-01   5.551418e-01  -5.370e-04   5.370e-04
  48   0.000000e+00   8.279250e-01   7.552350e-01   7.552350e-01   0.000e+00   0.000e+00
  49   1.678190e-01   8.142210e-01   8.117386e-01   7.630363e-01   4.870e-02   4.870e-02
  50   3.302910e-01   7.736350e-01   8.343403e-01   7.861005e-01   4.824e-02   4.824e-02
  51   4.822750e-01   7.077280e-01   8.437495e-01   8.234102e-01   2.034e-02   2.034e-02
  52   1.000000e+00   0.000000e+00   1.570795e+00   1.570795e+00   0.000e+00   0.000e+00
